,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[1068],0.503,0.021,0.463,0.543,0.0,0.0,9951.0,8954.0,1.0
foul_prob[1069],0.403,0.016,0.371,0.433,0.0,0.0,11404.0,7939.0,1.0
foul_prob[1070],0.359,0.022,0.316,0.401,0.0,0.0,9608.0,8622.0,1.0
foul_prob[1071],0.438,0.036,0.367,0.509,0.0,0.0,9821.0,7437.0,1.0
foul_prob[1072],0.362,0.013,0.336,0.387,0.0,0.0,10327.0,8705.0,1.0
foul_prob[1073],0.491,0.016,0.461,0.522,0.0,0.0,11618.0,7823.0,1.0
foul_prob[1074],0.392,0.017,0.359,0.426,0.0,0.0,11308.0,9373.0,1.0
foul_prob[1075],0.483,0.013,0.457,0.509,0.0,0.0,10340.0,8571.0,1.0
foul_prob[1076],0.344,0.024,0.297,0.39,0.0,0.0,10562.0,9199.0,1.0
foul_prob[1077],0.434,0.017,0.402,0.468,0.0,0.0,10437.0,9182.0,1.0
foul_prob[1078],0.403,0.013,0.377,0.427,0.0,0.0,11284.0,8548.0,1.0
foul_prob[1079],0.423,0.015,0.394,0.454,0.0,0.0,11335.0,9318.0,1.0
foul_prob[1080],0.329,0.024,0.284,0.376,0.0,0.0,11189.0,7323.0,1.0
foul_prob[1081],0.435,0.026,0.385,0.486,0.0,0.0,10746.0,8341.0,1.0
foul_prob[1082],0.489,0.027,0.436,0.54,0.0,0.0,10536.0,8563.0,1.0
foul_prob[1083],0.533,0.042,0.452,0.613,0.0,0.0,10630.0,8995.0,1.0
foul_prob[1084],0.385,0.014,0.357,0.411,0.0,0.0,10807.0,9322.0,1.0
foul_prob[1085],0.456,0.031,0.396,0.517,0.0,0.0,10749.0,9602.0,1.0
foul_prob[1086],0.339,0.024,0.292,0.388,0.0,0.0,10468.0,7971.0,1.0
foul_prob[1087],0.515,0.018,0.48,0.55,0.0,0.0,10790.0,7762.0,1.0
foul_prob[1088],0.436,0.012,0.411,0.458,0.0,0.0,11522.0,9596.0,1.0
foul_prob[1089],0.455,0.018,0.42,0.49,0.0,0.0,10998.0,8772.0,1.0
foul_prob[1090],0.457,0.023,0.412,0.502,0.0,0.0,11175.0,8821.0,1.0
foul_prob[1091],0.391,0.024,0.346,0.439,0.0,0.0,10361.0,7407.0,1.0
foul_prob[1092],0.471,0.015,0.441,0.501,0.0,0.0,11326.0,8844.0,1.0
