,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
foul_prob[2489],0.441,0.013,0.415,0.466,0.0,0.0,8271.0,5146.0,1.0
foul_prob[2490],0.498,0.017,0.467,0.535,0.0,0.0,8448.0,5703.0,1.0
foul_prob[2491],0.584,0.018,0.549,0.618,0.0,0.0,7950.0,5408.0,1.0
foul_prob[2492],0.344,0.019,0.308,0.383,0.0,0.0,7646.0,5354.0,1.0
foul_prob[2493],0.515,0.017,0.482,0.55,0.0,0.0,7466.0,5739.0,1.0
foul_prob[2494],0.374,0.018,0.34,0.411,0.0,0.0,8218.0,5441.0,1.0
foul_prob[2495],0.37,0.016,0.339,0.403,0.0,0.0,8345.0,5137.0,1.0
foul_prob[2496],0.516,0.017,0.483,0.55,0.0,0.0,9475.0,4809.0,1.0
foul_prob[2497],0.396,0.019,0.361,0.432,0.0,0.0,8009.0,5023.0,1.0
foul_prob[2498],0.474,0.017,0.44,0.508,0.0,0.0,9287.0,5323.0,1.0
foul_prob[2499],0.431,0.014,0.405,0.459,0.0,0.0,8192.0,4684.0,1.0
foul_prob[2500],0.393,0.016,0.361,0.425,0.0,0.0,8416.0,5309.0,1.0
foul_prob[2501],0.475,0.019,0.438,0.513,0.0,0.0,8248.0,5070.0,1.0
foul_prob[2502],0.377,0.01,0.356,0.397,0.0,0.0,6395.0,4919.0,1.0
foul_prob[2503],0.467,0.019,0.428,0.502,0.0,0.0,8055.0,5444.0,1.0
foul_prob[2504],0.446,0.018,0.411,0.481,0.0,0.0,8579.0,5181.0,1.0
foul_prob[2505],0.473,0.034,0.41,0.543,0.0,0.0,10287.0,5004.0,1.0
foul_prob[2506],0.328,0.019,0.293,0.365,0.0,0.0,7136.0,4970.0,1.0
foul_prob[2507],0.362,0.013,0.337,0.388,0.0,0.0,7046.0,4550.0,1.0
foul_prob[2508],0.357,0.015,0.326,0.386,0.0,0.0,7689.0,5663.0,1.0
foul_prob[2509],0.482,0.022,0.44,0.526,0.0,0.0,8843.0,5049.0,1.0
foul_prob[2510],0.436,0.021,0.394,0.475,0.0,0.0,7866.0,5278.0,1.0
foul_prob[2511],0.453,0.012,0.431,0.477,0.0,0.0,7388.0,5408.0,1.0
foul_prob[2512],0.469,0.015,0.44,0.499,0.0,0.0,8816.0,4791.0,1.0
foul_prob[2513],0.424,0.021,0.383,0.465,0.0,0.0,8683.0,5305.0,1.0
foul_prob[2514],0.359,0.022,0.32,0.404,0.0,0.0,8334.0,4505.0,1.0
foul_prob[2515],0.43,0.017,0.397,0.461,0.0,0.0,8186.0,5240.0,1.0
foul_prob[2516],0.448,0.009,0.43,0.465,0.0,0.0,7544.0,5354.0,1.0
foul_prob[2517],0.477,0.009,0.459,0.496,0.0,0.0,6870.0,5198.0,1.0
foul_prob[2518],0.425,0.013,0.399,0.452,0.0,0.0,7693.0,5405.0,1.0
foul_prob[2519],0.51,0.01,0.49,0.529,0.0,0.0,7402.0,5066.0,1.0
foul_prob[2520],0.492,0.017,0.46,0.524,0.0,0.0,8180.0,5446.0,1.0
foul_prob[2521],0.39,0.011,0.368,0.41,0.0,0.0,6556.0,5121.0,1.0
foul_prob[2522],0.42,0.019,0.383,0.458,0.0,0.0,7575.0,5294.0,1.0
foul_prob[2523],0.542,0.019,0.503,0.577,0.0,0.0,8677.0,4900.0,1.0
foul_prob[2524],0.302,0.019,0.266,0.341,0.0,0.0,7603.0,4909.0,1.0
foul_prob[2525],0.483,0.007,0.47,0.497,0.0,0.0,9395.0,4917.0,1.0
foul_prob[2526],0.397,0.015,0.367,0.425,0.0,0.0,8409.0,5033.0,1.0
foul_prob[2527],0.377,0.018,0.342,0.414,0.0,0.0,8333.0,4865.0,1.0
foul_prob[2528],0.51,0.013,0.486,0.536,0.0,0.0,7075.0,5262.0,1.0
foul_prob[2529],0.406,0.01,0.386,0.426,0.0,0.0,7653.0,4955.0,1.0
foul_prob[2530],0.406,0.015,0.374,0.434,0.0,0.0,9082.0,5175.0,1.0
foul_prob[2531],0.421,0.019,0.385,0.46,0.0,0.0,7998.0,5213.0,1.0
foul_prob[2532],0.41,0.018,0.374,0.445,0.0,0.0,8105.0,5463.0,1.0
foul_prob[2533],0.331,0.02,0.292,0.37,0.0,0.0,8151.0,5582.0,1.0
foul_prob[2534],0.338,0.017,0.307,0.372,0.0,0.0,7647.0,5595.0,1.0
foul_prob[2535],0.441,0.018,0.409,0.479,0.0,0.0,8087.0,5210.0,1.0
foul_prob[2536],0.387,0.01,0.369,0.407,0.0,0.0,6770.0,5200.0,1.0
foul_prob[2537],0.349,0.016,0.317,0.379,0.0,0.0,7397.0,5404.0,1.0
